,0,1,2
143,19.0,0.0,0.0
144,10.0,0.0,0.0
145,18.0,0.0,0.0
146,14.0,0.0,0.0
147,16.0,0.0,0.0
148,13.0,1.0,0.06274499555741386
149,12.0,0.0,0.0
150,15.0,0.0,0.0
151,9.0,0.0,0.0
152,12.0,0.0,0.0
153,11.0,0.0,0.0
154,9.0,0.0,0.0
155,17.0,1.0,0.13541666666666669
156,7.0,0.0,0.0
157,10.0,0.0,0.0
158,12.0,0.0,0.0
159,8.0,0.0,0.0
160,13.0,0.0,0.0
161,14.0,0.0,0.0
162,14.0,0.0,0.0
163,16.0,0.0,0.0
164,14.0,1.0,0.055203798971112036
165,25.0,0.0,0.0
166,11.0,1.0,0.08931096338503763
167,14.0,0.0,0.0
168,11.0,0.0,0.0
169,14.0,0.0,0.0
170,14.0,0.0,0.0
171,17.0,0.0,0.0
172,11.0,0.0,0.0
173,18.0,0.0,0.0
174,16.0,0.0,0.0
175,18.0,0.0,0.0
176,14.0,0.0,0.0
177,18.0,0.0,0.0
178,19.0,0.0,0.0
179,7.0,0.0,0.0
180,15.0,0.0,0.0
181,9.0,0.0,0.0
182,11.0,0.0,0.0
183,10.0,0.0,0.0
184,11.0,0.0,0.0
185,17.0,0.0,0.0
186,19.0,0.0,0.0
187,11.0,0.0,0.0
188,15.0,0.0,0.0
189,8.0,0.0,0.0
190,14.0,1.0,0.21875
191,5.0,0.0,0.0
192,10.0,0.0,0.0
193,13.0,0.0,0.0
194,7.0,0.0,0.0
195,7.0,0.0,0.0
196,13.0,0.0,0.0
197,14.0,0.0,0.0
198,10.0,0.0,0.0
199,10.0,0.0,0.0
200,11.0,0.0,0.0
201,10.0,0.0,0.0
202,13.0,0.0,0.0
203,13.0,0.0,0.0
204,12.0,0.0,0.0
205,12.0,0.0,0.0
206,13.0,0.0,0.0
207,5.0,0.0,0.0
208,18.0,0.0,0.0
209,8.0,0.0,0.0
210,7.0,0.0,0.0
211,16.0,0.0,0.0
212,17.0,0.0,0.0
213,13.0,0.0,0.0
214,11.0,1.0,0.08773377850150726
215,12.0,0.0,0.0
216,14.0,0.0,0.0
217,17.0,0.0,0.0
218,17.0,0.0,0.0
219,19.0,1.0,0.11072664359861584
220,7.0,0.0,0.0
221,14.0,0.0,0.0
222,13.0,0.0,0.0
223,14.0,0.0,0.0
224,7.0,0.0,0.0
225,13.0,0.0,0.0
226,8.0,0.0,0.0
227,11.0,1.0,0.12002840909090917
228,5.0,0.0,0.0
229,9.0,0.0,0.0
230,7.0,0.0,0.0
231,16.0,0.0,0.0
232,13.0,1.0,0.054508983080411716
233,5.0,0.0,0.0
234,13.0,0.0,0.0
235,14.0,0.0,0.0
236,7.0,0.0,0.0
237,14.0,0.0,0.0
238,11.0,0.0,0.0
239,9.0,0.0,0.0
240,11.0,0.0,0.0
241,15.0,1.0,0.18033248802479562
242,13.0,0.0,0.0
243,19.0,0.0,0.0
244,12.0,0.0,0.0
245,16.0,1.0,0.1142521293405788
246,15.0,0.0,0.0
247,5.0,0.0,0.0
248,5.0,0.0,0.0
